Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat
ASSISTANCE RENDERED,911,2,"LEWD -  (EXPOSING, FLASHING)",--SEX OFFENSES (NON-RAPE) - LEWD CONDUCT,5/4/2022 10:17,5/4/2022 12:46,WEST,DAVID,D1
ASSISTANCE RENDERED,911,2,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/4/2022 10:12,5/4/2022 10:34,NORTH,NORA,N3
NO POLICE ACTION POSSIBLE OR NECESSARY,ONVIEW,3,ORDER  - SERVICE OF DV COURT ORDER,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/4/2022 10:08,5/4/2022 10:08,NORTH,NORA,N1
ASSISTANCE RENDERED,ONVIEW,3,ORDER  - SERVICE OF DV COURT ORDER,DV - ASSIST VICTIM BY COURT ORDER,5/4/2022 10:01,5/4/2022 10:01,EAST,GEORGE,G2
ASSISTANCE RENDERED,ONVIEW,3,ORDER  - SERVICE OF DV COURT ORDER,DV - ASSIST VICTIM BY COURT ORDER,5/4/2022 9:52,5/4/2022 9:52,SOUTHWEST,WILLIAM,W1
ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - FOOT BEAT (FROM ASSIGNED CAR),ASSIGNED DUTY - FOOT BEAT (FROM ASSIGNED CAR),5/4/2022 9:51,5/4/2022 9:51,WEST,KING,K3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),THEFT - ALL OTHER,5/4/2022 9:45,1/1/1900 0:00,WEST,QUEEN,Q1
OTHER REPORT MADE,911,3,PROPERTY - DAMAGE,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/4/2022 9:35,5/4/2022 9:45,WEST,KING,K1
NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),5/4/2022 9:31,1/1/1900 0:00,SOUTHWEST,FRANK,F3
OTHER REPORT MADE,911,2,BURG - COMM BURGLARY (INCLUDES SCHOOLS),SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/4/2022 9:23,5/4/2022 9:28,SOUTH,ROBERT,R3
ASSISTANCE RENDERED,ONVIEW,9,"ASSIGNED DUTY - COMMUNITY,SCHOOL,SPECIAL EVENT","ASSIGNED DUTY - COMMUNITY,SCHOOL,SPECIAL EVENT",5/4/2022 9:14,5/4/2022 9:14,WEST,KING,K3
REPORT WRITTEN (NO ARREST),ONVIEW,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),"DV -VULNERABLE ADULT, FINANCIAL EXPLOITATION",5/4/2022 9:09,5/4/2022 9:09,WEST,QUEEN,Q2
ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/4/2022 9:09,1/1/1900 0:00,NORTH,BOY,B2
NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",3,TRAFFIC - MOVING VIOLATION,TRAFFIC - MOVING VIOLATION,5/4/2022 9:05,1/1/1900 0:00,WEST,KING,K2
ASSISTANCE RENDERED,911,2,SHOPLIFT - THEFT,THEFT - SHOPLIFT,5/4/2022 8:57,5/4/2022 9:26,SOUTHWEST,WILLIAM,W2
ASSISTANCE RENDERED,911,2,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),DISTURBANCE - OTHER,5/4/2022 8:53,1/1/1900 0:00,WEST,QUEEN,Q3
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),5/4/2022 8:49,5/4/2022 8:49,SOUTHWEST,WILLIAM,W2
ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,OFF DUTY EMPLOYMENT,5/4/2022 8:35,5/4/2022 8:35,EAST,CHARLIE,C1
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,"LEWD -  (EXPOSING, FLASHING)",CRISIS COMPLAINT - GENERAL,5/4/2022 8:33,5/4/2022 8:41,SOUTH,ROBERT,R1
REPORT WRITTEN (NO ARREST),ONVIEW,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),THEFT - CAR PROWL,5/4/2022 8:21,5/4/2022 8:21,NORTH,JOHN,J2
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),5/4/2022 8:21,1/1/1900 0:00,EAST,CHARLIE,C3
REPORT WRITTEN (NO ARREST),ONVIEW,2,TRESPASS,PROPERTY DEST (DAMG),5/4/2022 8:16,5/4/2022 8:16,SOUTHWEST,FRANK,F3
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,FOUND - PERSON,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/4/2022 7:52,5/4/2022 8:02,WEST,DAVID,D3
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,5/4/2022 7:38,5/4/2022 7:38,SOUTH,OCEAN,O1
ASSISTANCE RENDERED,911,2,TRESPASS,PROWLER - TRESPASS,5/4/2022 7:05,5/4/2022 7:21,SOUTH,OCEAN,O3
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",ALARM-RESIDENTIAL BURG,5/4/2022 7:04,5/4/2022 7:16,SOUTHWEST,WILLIAM,W3
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - BUSINESS CHECK,5/4/2022 6:32,5/4/2022 6:32,WEST,QUEEN,Q2
ASSISTANCE RENDERED,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,5/4/2022 6:17,5/4/2022 6:17,EAST,EDWARD,E1
OTHER REPORT MADE,ONVIEW,4,SEX OFFENDER - FAILURE TO REGISTER,--SEX OFFENSES (NON-RAPE) - FAILURE TO REGISTER,5/4/2022 6:15,5/4/2022 6:15,EAST,GEORGE,G1
ASSISTANCE RENDERED,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),HAZARDS - HAZARDS,5/4/2022 6:10,5/4/2022 6:37,SOUTH,OCEAN,O3
ASSISTANCE RENDERED,911,2,TRESPASS,MISCHIEF OR NUISANCE - GENERAL,5/4/2022 6:03,5/4/2022 6:25,WEST,KING,K1
REPORT WRITTEN (NO ARREST),911,1,BURG - IP/JO - RES (INCL UNOCC STRUCTURES),BURGLARY - RESIDENTIAL OCCUPIED,5/4/2022 6:02,5/4/2022 6:20,NORTH,BOY,B1
OTHER REPORT MADE,911,1,HAZ - IMMINENT THRT TO PHYS SAFETY (NO HAZ MAT),SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/4/2022 5:58,5/4/2022 6:01,WEST,MARY,M2
ASSISTANCE RENDERED,ONVIEW,2,TRESPASS,MISCHIEF OR NUISANCE - GENERAL,5/4/2022 5:44,5/4/2022 5:44,WEST,MARY,M1
REPORT WRITTEN (NO ARREST),911,2,TRESPASS,PROWLER - TRESPASS,5/4/2022 5:16,5/4/2022 5:36,SOUTH,ROBERT,R2
ORAL WARNING GIVEN,"TELEPHONE OTHER, NOT 911",4,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),5/4/2022 5:02,5/4/2022 8:05,NORTH,UNION,U1
ASSISTANCE RENDERED,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/4/2022 4:59,5/4/2022 5:14,SOUTHWEST,WILLIAM,W2
ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/4/2022 4:55,5/4/2022 5:03,EAST,EDWARD,E1
ASSISTANCE RENDERED,911,1,SUICIDE - IP/JO SUICIDAL PERSON AND ATTEMPTS,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/4/2022 4:37,5/4/2022 4:45,NORTH,UNION,U3
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,FIGHT - VERBAL/ORAL (NO WEAPONS),DISTURBANCE - OTHER,5/4/2022 4:36,5/4/2022 5:13,NORTH,BOY,B1
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",ALARM-RESIDENTIAL BURG,5/4/2022 3:39,5/4/2022 4:23,SOUTHWEST,WILLIAM,W3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),BURGLARY - NON RESIDENTIAL/COMMERCIAL,5/4/2022 3:01,5/4/2022 3:09,NORTH,NORA,N2
REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - DV,DV - DOMESTIC VIOL/ASLT (ARREST MANDATORY),5/4/2022 2:43,5/4/2022 2:51,WEST,QUEEN,Q2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,CRISIS COMPLAINT - GENERAL,5/4/2022 2:39,5/4/2022 2:42,WEST,KING,K2
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/4/2022 2:33,1/1/1900 0:00,NORTH,UNION,U2
REPORT WRITTEN (NO ARREST),ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",BURGLARY - NON RESIDENTIAL/COMMERCIAL,5/4/2022 2:27,5/4/2022 4:30,WEST,QUEEN,Q2
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),THEFT - AUTO ACCESSORIES,5/4/2022 2:03,5/4/2022 2:06,WEST,QUEEN,Q2
-,911,1,"AUTO THEFT-IP/JO - VEHICLE, PLATES, TABS","AUTO THEFT-IP/JO - VEHICLE, PLATES, TABS",5/4/2022 1:59,5/4/2022 2:04,NORTH,NORA,N3
REPORT WRITTEN (NO ARREST),911,2,"MVC - HIT AND RUN (NON INJURY), INCLUDES IP/JO",TRAFFIC - MV COLLISION INVESTIGATION,5/4/2022 1:34,5/4/2022 4:22,WEST,QUEEN,Q1
-,911,2,ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),DISTURBANCE - OTHER,5/4/2022 1:08,5/4/2022 1:16,WEST,KING,K2
-,911,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),5/4/2022 0:57,1/1/1900 0:00,NORTH,NORA,N2
ASSISTANCE RENDERED,911,3,DETOX - REQUEST FOR,INTOX & LIQ VIOLS - INTOXICATED PERSON,5/4/2022 0:36,5/4/2022 0:37,WEST,MARY,M3
-,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY","PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",5/4/2022 0:30,5/4/2022 0:30,WEST,MARY,M3
-,911,2,"MVC - HIT AND RUN (NON INJURY), INCLUDES IP/JO","MVC - HIT AND RUN (NON INJURY), INCLUDES IP/JO",5/4/2022 0:19,5/4/2022 0:21,NORTH,BOY,B3
ASSISTANCE RENDERED,911,2,ASSIST OTHER AGENCY - ROUTINE SERVICE,ASSIST OTHER AGENCY - STATE AGENCY,5/4/2022 0:17,5/4/2022 1:19,WEST,DAVID,D3
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,ASSIST OTHER AGENCY - ROUTINE SERVICE,ASSIST OTHER AGENCY - CITY AGENCY,5/4/2022 0:12,5/4/2022 0:25,NORTH,UNION,U1
-,911,2,ASLT - DV,ASLT - DV,5/3/2022 23:38,5/4/2022 0:56,WEST,DAVID,D1
FALSE COMPLAINT/UNFOUNDED,911,1,UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),"--ASSIST PUBLIC - 911 HANG UP, OPEN LINE",5/3/2022 23:26,5/3/2022 23:40,WEST,KING,K2
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"NOISE - DISTURBANCE (PARTY, ETC)",DISTURBANCE - NOISE,5/3/2022 23:14,5/3/2022 23:58,NORTH,JOHN,J1
ASSISTANCE RENDERED,911,3,NUISANCE - MISCHIEF,PROWLER - TRESPASS,5/3/2022 23:04,5/3/2022 23:16,EAST,EDWARD,E3
PHYSICAL ARREST MADE,ONVIEW,2,TRESPASS,PROWLER - TRESPASS,5/3/2022 22:32,5/3/2022 22:32,EAST,EDWARD,E3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - ASLT - WITH OR W/O WPNS (NO SHOOTINGS),"ASSAULTS, OTHER",5/3/2022 22:10,5/3/2022 22:27,EAST,EDWARD,E2
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,DIST - DV - NO ASLT,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/3/2022 22:00,5/3/2022 22:18,SOUTHWEST,FRANK,F2
-,911,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),5/3/2022 21:51,5/3/2022 23:59,EAST,GEORGE,G3
-,911,1,ASLT - IP/JO - DV,ASLT - IP/JO - DV,5/3/2022 21:35,5/3/2022 21:42,WEST,KING,K3
NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",3,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/3/2022 21:34,5/4/2022 5:06,WEST,DAVID,D3
-,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",5/3/2022 21:29,5/3/2022 22:22,WEST,QUEEN,Q1
ORAL WARNING GIVEN,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC - MOVING VIOLATION,5/3/2022 21:24,5/3/2022 21:24,SOUTH,OCEAN,O3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",2,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,DISTURBANCE - OTHER,5/3/2022 21:23,5/3/2022 23:06,NORTH,NORA,N1
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",9,"ASSIGNED DUTY - STATION DUTY (CLERK,MAIL,ETC)",ASSIST OTHER AGENCY - CITY AGENCY,5/3/2022 21:20,5/3/2022 21:21,EAST,EDWARD,E2
ASSISTANCE RENDERED,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,5/3/2022 21:16,5/3/2022 21:16,WEST,MARY,M3
ASSISTANCE RENDERED,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,5/3/2022 21:15,5/3/2022 21:36,SOUTHWEST,WILLIAM,W3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/3/2022 21:05,5/3/2022 22:25,WEST,QUEEN,Q2
ASSISTANCE RENDERED,911,3,DETOX - REQUEST FOR,INTOX & LIQ VIOLS - INTOXICATED PERSON,5/3/2022 20:59,1/1/1900 0:00,WEST,MARY,M1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - PROPERTY DESTRUCTION/DAMAGE,THEFT - CAR PROWL,5/3/2022 20:57,5/3/2022 22:42,NORTH,NORA,N1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",5,TRU - PROPERTY DESTRUCTION/DAMAGE,PROPERTY DEST (DAMG),5/3/2022 20:52,5/3/2022 22:41,WEST,DAVID,D1
NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",3,SERVICE - WELFARE CHECK,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/3/2022 20:37,5/4/2022 2:04,NORTH,LINCOLN,L1
REPORT WRITTEN (NO ARREST),911,2,DIST - DV - NO ASLT,"DV - ARGUMENTS, DISTURBANCE (NO ARREST)",5/3/2022 19:55,5/3/2022 21:12,NORTH,LINCOLN,L1
PRIORITY CALL HANDLING,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/3/2022 19:25,5/3/2022 19:59,WEST,DAVID,D2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/3/2022 19:17,5/3/2022 20:31,SOUTH,SAM,S3
NO POLICE ACTION POSSIBLE OR NECESSARY,911,3,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,CRISIS COMPLAINT - GENERAL,5/3/2022 19:11,5/3/2022 21:38,SOUTH,OCEAN,O1
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),2,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/3/2022 19:03,5/3/2022 21:20,EAST,GEORGE,G2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY - RESIDENTIAL OCCUPIED,5/3/2022 18:55,5/3/2022 20:10,SOUTH,ROBERT,R1
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",5,TRU - SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/3/2022 18:45,5/3/2022 20:32,WEST,DAVID,D3
ASSISTANCE RENDERED,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/3/2022 18:44,5/3/2022 21:16,SOUTHWEST,WILLIAM,W2
ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/3/2022 18:40,5/3/2022 18:45,SOUTH,ROBERT,R3
REPORT WRITTEN (NO ARREST),911,2,"CHILD - ABAND, ABUSED, MOLESTED, NEGLECTED","DV - ARGUMENTS, DISTURBANCE (NO ARREST)",5/3/2022 18:39,5/3/2022 18:48,SOUTHWEST,FRANK,F1
REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),"ASSAULTS, OTHER",5/3/2022 18:14,5/3/2022 18:19,SOUTHWEST,FRANK,F2
ASSISTANCE RENDERED,911,1,OVERDOSE - DRUG RELATED CASUALTY,ASSIST OTHER AGENCY - CITY AGENCY,5/3/2022 18:11,5/3/2022 18:56,EAST,CHARLIE,C3
-,"TELEPHONE OTHER, NOT 911",5,TRU - ASLT - WITH OR W/O WPNS (NO SHOOTINGS),TRU - ASLT - WITH OR W/O WPNS (NO SHOOTINGS),5/3/2022 18:11,5/3/2022 19:57,WEST,DAVID,D3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,"AUTO - THEFT/LOSS, PLATES AND/OR TAB",AUTOMOBILES - LICENSE PLATE(S) THEFT OR LOSS,5/3/2022 17:50,5/3/2022 20:17,SOUTHWEST,FRANK,F1
ASSISTANCE RENDERED,911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/3/2022 17:18,5/3/2022 17:31,WEST,DAVID,D2
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - REQUEST TO WATCH,5/3/2022 17:11,5/3/2022 17:11,EAST,EDWARD,E2
OTHER REPORT MADE,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,PROWLER - TRESPASS,5/3/2022 17:10,5/3/2022 17:29,WEST,QUEEN,Q2
DUPLICATED OR CANCELLED BY RADIO,"TELEPHONE OTHER, NOT 911",2,ASSIST SPD - ROUTINE SERVICE,ASSIST SPD - ROUTINE SERVICE,5/3/2022 17:02,1/1/1900 0:00,WEST,KING,K1
ASSISTANCE RENDERED,911,1,BURN - RECKLESS BURNING,DISTURBANCE - OTHER,5/3/2022 17:00,5/3/2022 17:08,WEST,MARY,M3
PHYSICAL ARREST MADE,911,1,MVC - WITH INJURIES (INCLUDES HIT AND RUN),TRAFFIC - D.U.I.,5/3/2022 16:58,5/3/2022 17:03,NORTH,LINCOLN,L1
ASSISTANCE RENDERED,911,1,"WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)","WEAPON, PERSON WITH - GUN",5/3/2022 16:45,5/3/2022 16:52,WEST,KING,K2
DUPLICATED OR CANCELLED BY RADIO,911,1,UNKNOWN - ANI/ALI - WRLS PHNS (INCL OPEN LINE),UNKNOWN - ANI/ALI - WRLS PHNS (INCL OPEN LINE),5/3/2022 16:40,1/1/1900 0:00,WEST,KING,K2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"WEAPN - GUN,DEADLY WPN (NO THRTS/ASLT/DIST)",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/3/2022 16:34,5/3/2022 16:51,EAST,EDWARD,E3
ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - DETAIL BY SUPERVISOR,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/3/2022 16:33,5/3/2022 16:33,WEST,DAVID,D2
PHYSICAL ARREST MADE,911,2,ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),"ASSAULTS, OTHER",5/3/2022 16:26,5/3/2022 16:50,SOUTH,ROBERT,R1
REPORT WRITTEN (NO ARREST),911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",PROWLER - TRESPASS,5/3/2022 16:22,5/3/2022 16:36,SOUTH,ROBERT,R2
PHYSICAL ARREST MADE,911,1,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"ASSAULTS - HARASSMENT, THREATS",5/3/2022 16:20,5/3/2022 16:43,WEST,KING,K3
RESPONDING UNIT(S) CANCELLED BY RADIO,911,2,"MVC - NON INJURY, BLOCKING",TRAFFIC - MV COLLISION INVESTIGATION,5/3/2022 15:52,1/1/1900 0:00,EAST,GEORGE,G3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,5/3/2022 15:51,5/3/2022 17:29,EAST,EDWARD,E1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - SUSPICIOUS CIRCUMSTANCES,"SUSPICIOUS CIRCUM. - BUILDING (OPEN DOOR, ETC)",5/3/2022 15:44,5/3/2022 16:01,NORTH,UNION,U1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),5/3/2022 15:30,1/1/1900 0:00,SOUTHWEST,FRANK,F3
ASSISTANCE RENDERED,ONVIEW,3,LIQUOR VIOLATIONS - ADULT,INTOX & LIQ VIOLS - ADULTS (VIOLATIONS),5/3/2022 15:15,5/3/2022 15:15,SOUTH,OCEAN,O1
-,"TELEPHONE OTHER, NOT 911",3,THREATS - DV - NO ASSAULT,THREATS - DV - NO ASSAULT,5/3/2022 15:11,5/3/2022 20:21,SOUTH,SAM,S1
FOLLOW-UP REPORT MADE,ONVIEW,3,FOLLOW UP,THEFT - ALL OTHER,5/3/2022 15:03,5/3/2022 15:03,NORTH,NORA,N3
OTHER REPORT MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC - MOVING VIOLATION,5/3/2022 14:35,5/3/2022 14:35,SOUTHWEST,FRANK,F1
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",ALARM-RESIDENTIAL BURG,5/3/2022 14:22,1/1/1900 0:00,NORTH,UNION,U3
PRIORITY CALL HANDLING,911,3,"MVC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",TRAFFIC - MOVING VIOLATION,5/3/2022 14:14,5/3/2022 19:51,WEST,DAVID,D3
REPORT WRITTEN (NO ARREST),ONVIEW,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),THEFT - CAR PROWL,5/3/2022 14:11,5/3/2022 14:11,UNKNOWN,,COMM
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - THREATS,"ASSAULTS - HARASSMENT, THREATS",5/3/2022 14:06,5/3/2022 14:08,EAST,EDWARD,E1
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,FOUND - PERSON,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/3/2022 13:53,5/3/2022 15:15,NORTH,NORA,N1
PRIORITY CALL HANDLING,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/3/2022 13:50,5/3/2022 19:46,WEST,DAVID,D3
ASSISTANCE RENDERED,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,5/3/2022 13:47,1/1/1900 0:00,NORTH,NORA,N3
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC - MOVING VIOLATION,5/3/2022 13:42,5/3/2022 13:42,SOUTHWEST,WILLIAM,W1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,TRAFFIC - MOVING VIOLATION,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,5/3/2022 13:41,5/3/2022 13:45,SOUTHWEST,WILLIAM,W2
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,3,TRAFFIC - MOVING VIOLATION,TRAFFIC - MV COLLISION INVESTIGATION,5/3/2022 13:41,5/3/2022 13:41,SOUTHWEST,WILLIAM,W1
ORAL WARNING GIVEN,ONVIEW,3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),5/3/2022 13:34,5/3/2022 13:34,NORTH,UNION,U1
